baterryNo,U,A,T,R,recordtime,recordTime,SOC
5,2199,89,129,4738,2022/1/3 12:33,01031233,0.995463
5,2199,102,129,4738,2022/1/3 12:33,01031233,0.995463
5,2200,78,129,4738,2022/1/3 12:34,01031234,0.995424
5,2200,103,129,4738,2022/1/3 12:34,01031234,0.995424
5,2200,103,129,4738,2022/1/3 12:34,01031234,0.995424
5,2200,102,129,4738,2022/1/3 12:34,01031234,0.995424
5,2200,102,129,4738,2022/1/3 12:34,01031234,0.995424
5,2200,102,129,4738,2022/1/3 12:34,01031234,0.995424
5,2197,81,129,4738,2022/1/3 12:35,01031235,0.9953835
5,2200,102,129,4738,2022/1/3 12:35,01031235,0.9953835
5,2200,102,129,4738,2022/1/3 12:35,01031235,0.9953835
5,2214,102,129,4738,2022/1/3 12:35,01031235,0.9953835
5,2200,92,129,4738,2022/1/3 12:35,01031235,0.9953835
5,2200,101,129,4738,2022/1/3 12:35,01031235,0.9953835
5,2201,102,129,4738,2022/1/3 12:36,01031236,0.9953325
5,2201,102,129,4738,2022/1/3 12:36,01031236,0.9953325
5,2198,101,129,4738,2022/1/3 12:36,01031236,0.9953325
5,2200,103,129,4738,2022/1/3 12:36,01031236,0.9953325
5,2201,103,129,4738,2022/1/3 12:36,01031236,0.9953325
5,2199,83,129,4738,2022/1/3 12:36,01031236,0.9953325
5,2201,102,129,4738,2022/1/3 12:37,01031237,0.9952815
5,2204,102,129,4738,2022/1/3 12:37,01031237,0.9952815
5,2201,87,129,4738,2022/1/3 12:37,01031237,0.9952815
5,2201,101,129,4738,2022/1/3 12:37,01031237,0.9952815
5,2201,102,129,4738,2022/1/3 12:37,01031237,0.9952815
5,2200,96,129,4738,2022/1/3 12:37,01031237,0.9952815
5,2202,96,129,4738,2022/1/3 12:38,01031238,0.9952335
5,2209,102,129,4738,2022/1/3 12:38,01031238,0.9952335
5,2202,96,129,4738,2022/1/3 12:38,01031238,0.9952335
5,2200,90,129,4738,2022/1/3 12:38,01031238,0.9952335
5,2202,103,129,4738,2022/1/3 12:38,01031238,0.9952335
5,2202,103,129,4738,2022/1/3 12:38,01031238,0.9952335
5,2202,101,129,4738,2022/1/3 12:39,01031239,0.995183
5,2202,81,129,4738,2022/1/3 12:39,01031239,0.995183
5,2203,102,129,4738,2022/1/3 12:39,01031239,0.995183
5,2203,101,129,4738,2022/1/3 12:39,01031239,0.995183
5,2200,102,129,4738,2022/1/3 12:39,01031239,0.995183
5,2202,102,129,4738,2022/1/3 12:39,01031239,0.995183
5,2203,104,129,4738,2022/1/3 12:40,01031240,0.995131
5,2203,102,129,4738,2022/1/3 12:40,01031240,0.995131
5,2206,101,129,4738,2022/1/3 12:40,01031240,0.995131
5,2202,105,129,4738,2022/1/3 12:40,01031240,0.995131
5,2203,105,129,4738,2022/1/3 12:40,01031240,0.995131
5,2200,102,129,4738,2022/1/3 12:40,01031240,0.995131
5,2203,104,129,4738,2022/1/3 12:41,01031241,0.995079
5,2201,83,129,4738,2022/1/3 12:41,01031241,0.995079
5,2202,89,129,4738,2022/1/3 12:41,01031241,0.995079
5,2203,89,129,4738,2022/1/3 12:41,01031241,0.995079
5,2204,103,129,4738,2022/1/3 12:41,01031241,0.995079
5,2204,102,129,4738,2022/1/3 12:41,01031241,0.995079
5,2204,102,129,4738,2022/1/3 12:42,01031242,0.995028
5,2204,102,129,4738,2022/1/3 12:42,01031242,0.995028
5,2204,102,129,4738,2022/1/3 12:42,01031242,0.995028
5,2204,101,129,4738,2022/1/3 12:42,01031242,0.995028
5,2203,79,129,4738,2022/1/3 12:42,01031242,0.995028
5,2204,92,129,4738,2022/1/3 12:42,01031242,0.995028
5,2204,101,129,4738,2022/1/3 12:43,01031243,0.9949775
5,2204,102,129,4738,2022/1/3 12:43,01031243,0.9949775
5,2200,102,129,4738,2022/1/3 12:43,01031243,0.9949775
5,2204,91,130,4738,2022/1/3 12:43,01031243,0.9949775
5,2202,103,129,4738,2022/1/3 12:43,01031243,0.9949775
5,2204,104,130,4738,2022/1/3 12:43,01031243,0.9949775
5,2203,79,130,4738,2022/1/3 12:44,01031244,0.994938
5,2204,79,130,4738,2022/1/3 12:44,01031244,0.994938
5,2220,101,130,4738,2022/1/3 12:44,01031244,0.994938
5,2203,85,130,4738,2022/1/3 12:44,01031244,0.994938
5,2205,101,130,4738,2022/1/3 12:44,01031244,0.994938
5,2205,102,130,4738,2022/1/3 12:44,01031244,0.994938
5,2203,92,130,4738,2022/1/3 12:45,01031245,0.994892
5,2204,92,130,4738,2022/1/3 12:45,01031245,0.994892
5,2205,103,130,4738,2022/1/3 12:45,01031245,0.994892
5,2204,86,130,4738,2022/1/3 12:45,01031245,0.994892
5,2205,102,130,4738,2022/1/3 12:45,01031245,0.994892
5,2205,103,129,4738,2022/1/3 12:45,01031245,0.994892
5,2206,103,129,4738,2022/1/3 12:46,01031246,0.9948405
5,2205,102,129,4738,2022/1/3 12:46,01031246,0.9948405
5,2206,96,129,4738,2022/1/3 12:46,01031246,0.9948405
